"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,010014
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001907
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,002623
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,010252
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,008583
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,001907
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,009298
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,000954
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,002384
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001907
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.arcLength | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.minEnclosingCircle | 0,001907
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.drawContours | 0,013351
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001192
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001431
"2025-12-27 10:20:30" | Blink 1 (fake).jpg | detect_scoring_zones_tree | cv2.contourArea | 0,001669
